,Car_name,Making Year,Fuel_Type,Kms,Engine,No. of owners,Transmission,Price
0,Hyundai i20 Sportz 1.2,2016,Petrol,"66,336 kms",1197 CC,First Owner,Manual,6.91 Lakh*
1,Maruti Swift Dzire VDI,2017,Diesel,"82,175 kms",1248 CC,First Owner,Manual,7.34 Lakh*
2,Toyota Innova 2.5 V Diesel 7-seater,2006,Diesel,"1,90,417 kms",2494 CC,First Owner,Manual,5.6 Lakh*
3,Maruti Wagon R VXI,2012,Petrol,"91,213 kms",998 CC,First Owner,Manual,3.13 Lakh*
4,Renault Pulse RxL,2015,Diesel,"16,728 kms",1461 CC,First Owner,Manual,4.59 Lakh*
5,New Skoda Rapid 1.0 TSI Ambition,2020,Petrol,"27,000 kms",999 CC,First Owner,Manual,10.8 Lakh*
6,Maruti Vitara Brezza VDi,2018,Diesel,"48,256 kms",1248 CC,First Owner,Manual,9.4 Lakh*
7,Maruti Swift Dzire VXi,2009,Petrol,"85,657 kms",1298 CC,First Owner,Manual,3.6 Lakh*
8,Maruti Swift AMT ZDI,2018,Diesel,"34,000 kms",1248 CC,First Owner,Automatic,7.95 Lakh*
9,Honda City 1.5 S MT,2011,Petrol,"68,452 kms",1497 CC,First Owner,Manual,4.4 Lakh*
10,Maruti Baleno Alpha Automatic,2018,Petrol,"44,326 kms",1197 CC,First Owner,Automatic,8.2 Lakh*
11,Toyota Fortuner 2016-2021 TRD 4X4 AT,2019,Diesel,"12,999 kms",2755 CC,First Owner,Automatic,44 Lakh*
12,Maruti Wagon R VXI BSIII,2012,Petrol,"68,000 kms",998 CC,First Owner,Manual,3.7 Lakh*
13,Maruti Swift Dzire AMT ZDI,2016,Diesel,"81,000 kms",1248 CC,First Owner,Automatic,7 Lakh*
14,Volkswagen Polo Diesel Comfortline 1.2L,2013,Diesel,"93,000 kms",1199 CC,First Owner,Manual,5.25 Lakh*
15,Honda BRV i-DTEC V MT,2017,Diesel,"1,16,000 kms",1498 CC,First Owner,Manual,8.4 Lakh*
16,Mahindra XUV500 W9 BSIV,2018,Diesel,"1,07,000 kms",2179 CC,First Owner,Manual,13.25 Lakh*
17,Skoda Octavia Style Plus 2.0 TDI AT,2015,Diesel,"99,000 kms",1968 CC,First Owner,Automatic,13.99 Lakh*
18,Maruti Wagon R LXI DUO BSIII,2006,LPG,"83,000 kms",1061 CC,First Owner,Manual,1.65 Lakh*
19,Hyundai Creta 1.6 CRDi SX Option,2018,Diesel,"1,10,000 kms",1582 CC,First Owner,Manual,13.75 Lakh*
20,Maruti Eeco 5 Seater AC,2017,Petrol,"24,051 kms",1196 CC,First Owner,Manual,4.15 Lakh*
21,Maruti Vitara Brezza ZDi Plus,2017,Diesel,"78,042 kms",1248 CC,First Owner,Manual,8.5 Lakh*
22,Chevrolet Beat Diesel,2011,Diesel,"97,000 kms",936 CC,First Owner,Manual,2.1 Lakh*
23,Maruti Eeco 5 Seater AC BSIV,2019,Petrol,"43,000 kms",1196 CC,First Owner,Manual,4.3 Lakh*
24,Maruti Swift VXI Optional,2015,Petrol,"58,000 kms",1197 CC,First Owner,Manual,5.5 Lakh*
25,Maruti Swift Dzire VDi,2015,Diesel,"96,000 kms",1248 CC,First Owner,Manual,5.6 Lakh*
26,Maruti Wagon R Stingray VXI,2013,Petrol,"60,321 kms",998 CC,First Owner,Manual,3.8 Lakh*
27,Maruti Ertiga SHVS VDI,2016,Diesel,"83,000 kms",1248 CC,First Owner,Manual,7.8 Lakh*
28,Tata Tiago 1.05 Revotorq XZ Plus,2016,Diesel,"38,000 kms",1047 CC,First Owner,Manual,5.75 Lakh*
29,Honda City 1.5 S MT,2011,Petrol,"68,452 kms",1497 CC,First Owner,Manual,4.4 Lakh*
30,Maruti Baleno Alpha Automatic,2018,Petrol,"44,326 kms",1197 CC,First Owner,Automatic,8.2 Lakh*
31,Toyota Fortuner 2016-2021 TRD 4X4 AT,2019,Diesel,"12,999 kms",2755 CC,First Owner,Automatic,44 Lakh*
32,Maruti Wagon R VXI BSIII,2012,Petrol,"68,000 kms",998 CC,First Owner,Manual,3.7 Lakh*
33,Maruti Swift Dzire AMT ZDI,2016,Diesel,"81,000 kms",1248 CC,First Owner,Automatic,7 Lakh*
34,Volkswagen Polo Diesel Comfortline 1.2L,2013,Diesel,"93,000 kms",1199 CC,First Owner,Manual,5.25 Lakh*
35,Honda BRV i-DTEC V MT,2017,Diesel,"1,16,000 kms",1498 CC,First Owner,Manual,8.4 Lakh*
36,Mahindra XUV500 W9 BSIV,2018,Diesel,"1,07,000 kms",2179 CC,First Owner,Manual,13.25 Lakh*
37,Skoda Octavia Style Plus 2.0 TDI AT,2015,Diesel,"99,000 kms",1968 CC,First Owner,Automatic,13.99 Lakh*
38,Maruti Wagon R LXI DUO BSIII,2006,LPG,"83,000 kms",1061 CC,First Owner,Manual,1.65 Lakh*
39,Hyundai Creta 1.6 CRDi SX Option,2018,Diesel,"1,10,000 kms",1582 CC,First Owner,Manual,13.75 Lakh*
40,Maruti Eeco 5 Seater AC,2017,Petrol,"24,051 kms",1196 CC,First Owner,Manual,4.15 Lakh*
41,Maruti Vitara Brezza ZDi Plus,2017,Diesel,"78,042 kms",1248 CC,First Owner,Manual,8.5 Lakh*
42,Chevrolet Beat Diesel,2011,Diesel,"97,000 kms",936 CC,First Owner,Manual,2.1 Lakh*
43,Maruti Eeco 5 Seater AC BSIV,2019,Petrol,"43,000 kms",1196 CC,First Owner,Manual,4.3 Lakh*
44,Maruti Swift VXI Optional,2015,Petrol,"58,000 kms",1197 CC,First Owner,Manual,5.5 Lakh*
45,Maruti Swift Dzire VDi,2015,Diesel,"96,000 kms",1248 CC,First Owner,Manual,5.6 Lakh*
46,Maruti Wagon R Stingray VXI,2013,Petrol,"60,321 kms",998 CC,First Owner,Manual,3.8 Lakh*
47,Maruti Ertiga SHVS VDI,2016,Diesel,"83,000 kms",1248 CC,First Owner,Manual,7.8 Lakh*
48,Tata Tiago 1.05 Revotorq XZ Plus,2016,Diesel,"38,000 kms",1047 CC,First Owner,Manual,5.75 Lakh*
49,Tata Tiago 1.05 Revotorq XZ Plus,2016,Diesel,"38,000 kms",1047 CC,First Owner,Manual,5.75 Lakh*
50,Jaguar XJ 3.0L Premium Luxury LWB,2012,Diesel,"49,000 kms",2993 CC,First Owner,Automatic,25 Lakh*
51,Mahindra Thar CRDe,2018,Diesel,"58,988 kms",2498 CC,First Owner,Manual,8.9 Lakh*
52,Maruti Baleno Zeta 1.3,2017,Diesel,"5,80,000 kms",1248 CC,First Owner,Manual,6.9 Lakh*
53,Maruti Vitara Brezza ZDi AMT,2017,Diesel,"74,000 kms",1248 CC,First Owner,Automatic,9 Lakh*
54,Hyundai Grand i10 CRDi Asta,2015,Diesel,"65,000 kms",1120 CC,First Owner,Manual,4.5 Lakh*
55,Maruti Ritz VDi,2012,Diesel,"1,02,000 kms",1248 CC,Second Owner,Manual,3.4 Lakh*
56,Jeep Compass 2.0 Limited,2017,Diesel,"51,000 kms",1956 CC,First Owner,Manual,16.5 Lakh*
57,Hyundai Verna 1.6 SX,2013,Diesel,"85,000 kms",1582 CC,First Owner,Manual,5.3 Lakh*
58,Lexus GS 500h Ultra Luxury,2019,Petrol,"3,500 kms",3456 CC,First Owner,Automatic,1.69 Cr*
59,Hyundai i10 Era,2008,Petrol,"75,000 kms",1086 CC,First Owner,Manual,2.65 Lakh*
60,Hyundai i20 Sportz 1.4 CRDi,2015,Diesel,"87,000 kms",1396 CC,First Owner,Manual,6.15 Lakh*
61,Chevrolet Beat LT,2013,Petrol,"66,000 kms",1199 CC,First Owner,Manual,2.65 Lakh*
62,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,Diesel,"60,000 kms",2143 CC,First Owner,Automatic,22 Lakh*
63,Maruti Baleno Delta,2016,Petrol,"68,660 kms",1197 CC,First Owner,Manual,6.2 Lakh*
64,Hyundai i20 1.4 Sportz,2017,Diesel,"65,000 kms",1396 CC,First Owner,Manual,7.5 Lakh*
65,Honda Amaze 2016-2021 S i-VTEC,2016,Petrol,"84,000 kms",1198 CC,First Owner,Manual,4.35 Lakh*
66,Jaguar XF 3.0 Litre S Premium Luxury,2013,Diesel,"79,000 kms",2993 CC,First Owner,Automatic,24.99 Lakh*
67,Maruti Alto 800 LXI,2016,Petrol,"53,649 kms",796 CC,First Owner,Manual,3.22 Lakh*
68,Audi A6 35 TDI Premium,2015,Diesel,"67,000 kms",1968 CC,First Owner,Automatic,26.5 Lakh*
69,Honda City 1.5 S MT,2011,Petrol,"68,452 kms",1497 CC,First Owner,Manual,4.4 Lakh*
70,Maruti Baleno Alpha Automatic,2018,Petrol,"44,326 kms",1197 CC,First Owner,Automatic,8.2 Lakh*
71,Toyota Fortuner 2016-2021 TRD 4X4 AT,2019,Diesel,"12,999 kms",2755 CC,First Owner,Automatic,44 Lakh*
72,Maruti Wagon R VXI BSIII,2012,Petrol,"68,000 kms",998 CC,First Owner,Manual,3.7 Lakh*
73,Maruti Swift Dzire AMT ZDI,2016,Diesel,"81,000 kms",1248 CC,First Owner,Automatic,7 Lakh*
74,Volkswagen Polo Diesel Comfortline 1.2L,2013,Diesel,"93,000 kms",1199 CC,First Owner,Manual,5.25 Lakh*
75,Honda BRV i-DTEC V MT,2017,Diesel,"1,16,000 kms",1498 CC,First Owner,Manual,8.4 Lakh*
76,Mahindra XUV500 W9 BSIV,2018,Diesel,"1,07,000 kms",2179 CC,First Owner,Manual,13.25 Lakh*
77,Skoda Octavia Style Plus 2.0 TDI AT,2015,Diesel,"99,000 kms",1968 CC,First Owner,Automatic,13.99 Lakh*
78,Maruti Wagon R LXI DUO BSIII,2006,LPG,"83,000 kms",1061 CC,First Owner,Manual,1.65 Lakh*
79,Hyundai Creta 1.6 CRDi SX Option,2018,Diesel,"1,10,000 kms",1582 CC,First Owner,Manual,13.75 Lakh*
80,Maruti Eeco 5 Seater AC,2017,Petrol,"24,051 kms",1196 CC,First Owner,Manual,4.15 Lakh*
81,Maruti Vitara Brezza ZDi Plus,2017,Diesel,"78,042 kms",1248 CC,First Owner,Manual,8.5 Lakh*
82,Chevrolet Beat Diesel,2011,Diesel,"97,000 kms",936 CC,First Owner,Manual,2.1 Lakh*
83,Maruti Eeco 5 Seater AC BSIV,2019,Petrol,"43,000 kms",1196 CC,First Owner,Manual,4.3 Lakh*
84,Maruti Swift VXI Optional,2015,Petrol,"58,000 kms",1197 CC,First Owner,Manual,5.5 Lakh*
85,Maruti Swift Dzire VDi,2015,Diesel,"96,000 kms",1248 CC,First Owner,Manual,5.6 Lakh*
86,Maruti Wagon R Stingray VXI,2013,Petrol,"60,321 kms",998 CC,First Owner,Manual,3.8 Lakh*
87,Maruti Swift VDI,2014,Diesel,"1,14,000 kms",1248 CC,First Owner,Manual,4.7 Lakh*
88,Maruti Ertiga SHVS VDI,2016,Diesel,"83,000 kms",1248 CC,First Owner,Manual,7.8 Lakh*
89,Tata Tiago 1.05 Revotorq XZ Plus,2016,Diesel,"38,000 kms",1047 CC,First Owner,Manual,5.75 Lakh*
90,Jaguar XJ 3.0L Premium Luxury LWB,2012,Diesel,"49,000 kms",2993 CC,First Owner,Automatic,25 Lakh*
91,Mahindra Thar CRDe,2018,Diesel,"58,988 kms",2498 CC,First Owner,Manual,8.9 Lakh*
92,Maruti Baleno Zeta 1.3,2017,Diesel,"5,80,000 kms",1248 CC,First Owner,Manual,6.9 Lakh*
93,Maruti Vitara Brezza ZDi AMT,2017,Diesel,"74,000 kms",1248 CC,First Owner,Automatic,9 Lakh*
94,Hyundai Grand i10 CRDi Asta,2015,Diesel,"65,000 kms",1120 CC,First Owner,Manual,4.5 Lakh*
95,Maruti Ritz VDi,2012,Diesel,"1,02,000 kms",1248 CC,Second Owner,Manual,3.4 Lakh*
96,Jeep Compass 2.0 Limited,2017,Diesel,"51,000 kms",1956 CC,First Owner,Manual,16.5 Lakh*
97,Hyundai Verna 1.6 SX,2013,Diesel,"85,000 kms",1582 CC,First Owner,Manual,5.3 Lakh*
98,Lexus GS 500h Ultra Luxury,2019,Petrol,"3,500 kms",3456 CC,First Owner,Automatic,1.69 Cr*
99,Hyundai i10 Era,2008,Petrol,"75,000 kms",1086 CC,First Owner,Manual,2.65 Lakh*
100,Hyundai i20 Sportz 1.4 CRDi,2015,Diesel,"87,000 kms",1396 CC,First Owner,Manual,6.15 Lakh*
101,Chevrolet Beat LT,2013,Petrol,"66,000 kms",1199 CC,First Owner,Manual,2.65 Lakh*
102,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,Diesel,"60,000 kms",2143 CC,First Owner,Automatic,22 Lakh*
103,Maruti Baleno Delta,2016,Petrol,"68,660 kms",1197 CC,First Owner,Manual,6.2 Lakh*
104,Hyundai i20 1.4 Sportz,2017,Diesel,"65,000 kms",1396 CC,First Owner,Manual,7.5 Lakh*
105,Honda Amaze 2016-2021 S i-VTEC,2016,Petrol,"84,000 kms",1198 CC,First Owner,Manual,4.35 Lakh*
106,Jaguar XF 3.0 Litre S Premium Luxury,2013,Diesel,"79,000 kms",2993 CC,First Owner,Automatic,24.99 Lakh*
107,Maruti Alto 800 LXI,2016,Petrol,"53,649 kms",796 CC,First Owner,Manual,3.22 Lakh*
108,Audi A6 35 TDI Premium,2015,Diesel,"67,000 kms",1968 CC,First Owner,Automatic,26.5 Lakh*
109,Tata Tiago 1.05 Revotorq XZ Plus,2016,Diesel,"38,000 kms",1047 CC,First Owner,Manual,5.75 Lakh*
110,Jaguar XJ 3.0L Premium Luxury LWB,2012,Diesel,"49,000 kms",2993 CC,First Owner,Automatic,25 Lakh*
111,Mahindra Thar CRDe,2018,Diesel,"58,988 kms",2498 CC,First Owner,Manual,8.9 Lakh*
112,Maruti Baleno Zeta 1.3,2017,Diesel,"5,80,000 kms",1248 CC,First Owner,Manual,6.9 Lakh*
113,Maruti Vitara Brezza ZDi AMT,2017,Diesel,"74,000 kms",1248 CC,First Owner,Automatic,9 Lakh*
114,Hyundai Grand i10 CRDi Asta,2015,Diesel,"65,000 kms",1120 CC,First Owner,Manual,4.5 Lakh*
115,Maruti Ritz VDi,2012,Diesel,"1,02,000 kms",1248 CC,Second Owner,Manual,3.4 Lakh*
116,Jeep Compass 2.0 Limited,2017,Diesel,"51,000 kms",1956 CC,First Owner,Manual,16.5 Lakh*
117,Hyundai Verna 1.6 SX,2013,Diesel,"85,000 kms",1582 CC,First Owner,Manual,5.3 Lakh*
118,Lexus GS 500h Ultra Luxury,2019,Petrol,"3,500 kms",3456 CC,First Owner,Automatic,1.69 Cr*
119,Hyundai i10 Era,2008,Petrol,"75,000 kms",1086 CC,First Owner,Manual,2.65 Lakh*
120,Hyundai i20 Sportz 1.4 CRDi,2015,Diesel,"87,000 kms",1396 CC,First Owner,Manual,6.15 Lakh*
121,Chevrolet Beat LT,2013,Petrol,"66,000 kms",1199 CC,First Owner,Manual,2.65 Lakh*
122,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,Diesel,"60,000 kms",2143 CC,First Owner,Automatic,22 Lakh*
123,Maruti Baleno Delta,2016,Petrol,"68,660 kms",1197 CC,First Owner,Manual,6.2 Lakh*
124,Hyundai i20 1.4 Sportz,2017,Diesel,"65,000 kms",1396 CC,First Owner,Manual,7.5 Lakh*
125,Honda Amaze 2016-2021 S i-VTEC,2016,Petrol,"84,000 kms",1198 CC,First Owner,Manual,4.35 Lakh*
126,Jaguar XF 3.0 Litre S Premium Luxury,2013,Diesel,"79,000 kms",2993 CC,First Owner,Automatic,24.99 Lakh*
127,Maruti Alto 800 LXI,2016,Petrol,"53,649 kms",796 CC,First Owner,Manual,3.22 Lakh*
128,Audi A6 35 TDI Premium,2015,Diesel,"67,000 kms",1968 CC,First Owner,Automatic,26.5 Lakh*
129,Nissan Micra XV CVT,2016,Petrol,"31,200 kms",1198 CC,Third Owner,Automatic,4.89 Lakh*
130,Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,Diesel,"43,000 kms",1396 CC,First Owner,Manual,7.5 Lakh*
131,Volkswagen Polo Diesel Highline 1.2L,2013,Diesel,"81,000 kms",1199 CC,Second Owner,Manual,3.95 Lakh*
132,Hyundai Santro GLS I - Euro I,2008,Petrol,"62,194 kms",1086 CC,First Owner,Manual,1.95 Lakh*
133,Volkswagen Polo 1.5 TDI Highline,2014,Diesel,"88,434 kms",1498 CC,First Owner,Manual,5.5 Lakh*
134,Maruti Vitara Brezza LDi,2016,Diesel,"64,436 kms",1248 CC,First Owner,Manual,7.85 Lakh*
135,Maruti Swift Vdi BSIII,2010,Diesel,"98,000 kms",1248 CC,First Owner,Manual,2.85 Lakh*
136,Volkswagen Polo 1.5 TDI Highline,2016,Diesel,"1,03,580 kms",1498 CC,First Owner,Manual,6.5 Lakh*
137,Mahindra XUV500 W10 AWD,2016,Diesel,"83,585 kms",2179 CC,First Owner,Manual,9.9 Lakh*
138,Maruti Ignis 1.2 Alpha BSIV,2018,Petrol,"17,524 kms",1197 CC,First Owner,Manual,6.35 Lakh*
139,Maruti Swift Dzire VDI,2016,Diesel,"73,790 kms",1248 CC,First Owner,Manual,6.5 Lakh*
140,Porsche Cayenne S Diesel,2006,Diesel,"55,000 kms",4134 CC,First Owner,Automatic,16.5 Lakh*
141,Mercedes-Benz E-Class 230 E AT,2008,Petrol,"91,000 kms",2496 CC,First Owner,Automatic,5.5 Lakh*
142,BMW X3 2.5si,2008,Petrol,"1,31,000 kms",2497 CC,First Owner,Automatic,7.99 Lakh*
143,Hyundai Santro Xing XL eRLX Euro III,2007,Petrol,"83,132 kms",1086 CC,First Owner,Manual,1.9 Lakh*
144,Skoda Octavia Classic 1.9 TDI MT,2007,Diesel,"1,10,000 kms",1896 CC,First Owner,Manual,2.5 Lakh*
145,Hyundai EON Sportz,2018,Petrol,"30,602 kms",814 CC,First Owner,Manual,3.75 Lakh*
146,Volkswagen Vento 1.5 TDI Highline,2014,Diesel,"75,000 kms",1498 CC,First Owner,Manual,5.75 Lakh*
147,Hyundai Santro GLS I - Euro I,2010,Petrol,"1,59,427 kms",1086 CC,First Owner,Manual,2.45 Lakh*
148,Maruti Vitara Brezza ZDi AMT,2018,Diesel,"47,000 kms",1248 CC,First Owner,Automatic,10.5 Lakh*
149,Nissan Micra XV CVT,2016,Petrol,"31,200 kms",1198 CC,Third Owner,Automatic,4.89 Lakh*
150,Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,Diesel,"43,000 kms",1396 CC,First Owner,Manual,7.5 Lakh*
